"","x"
"1265",7.86432467077971e-06
"1266",7.86432467077971e-06
"1267",7.86432467077971e-06
"1272",7.86432467077971e-06
"1273",7.86432467077971e-06
"1274",7.86432467077971e-06
"1277",7.86432467077971e-06
"1278",7.86432467077971e-06
"1279",7.86432467077971e-06
"1282",7.86432467077971e-06
"1283",7.86432467077971e-06
"1284",7.86432467077971e-06
"1286",7.86432467077971e-06
"1287",7.86432467077971e-06
"1292",7.86432467077971e-06
"1293",7.86432467077971e-06
"13",7.86432467077971e-06
"362",7.86432467077971e-06
"557",7.86432467077971e-06
"692",7.86432467077971e-06
"723",7.86432467077971e-06
"779",7.86432467077971e-06
"961",7.86432467077971e-06
"1029",9.17504544924299e-06
"1141",9.17504544924299e-06
"1149",9.17504544924299e-06
"1154",9.17504544924299e-06
"1165",9.17504544924299e-06
"1173",9.17504544924299e-06
"1175",9.17504544924299e-06
"1179",9.17504544924299e-06
"1180",9.17504544924299e-06
"1182",9.17504544924299e-06
"1185",9.17504544924299e-06
"1196",9.17504544924299e-06
"1198",9.17504544924299e-06
"1204",9.17504544924299e-06
"1205",9.17504544924299e-06
"1206",9.17504544924299e-06
"1207",9.17504544924299e-06
"1208",9.17504544924299e-06
"1217",9.17504544924299e-06
"1218",9.17504544924299e-06
"1222",9.17504544924299e-06
"1225",9.17504544924299e-06
"1229",9.17504544924299e-06
"1231",9.17504544924299e-06
"1233",9.17504544924299e-06
"1234",9.17504544924299e-06
"1239",9.17504544924299e-06
"1244",9.17504544924299e-06
"1247",9.17504544924299e-06
"1254",9.17504544924299e-06
"1255",9.17504544924299e-06
"1257",9.17504544924299e-06
"1258",9.17504544924299e-06
"307",9.17504544924299e-06
"321",9.17504544924299e-06
"361",9.17504544924299e-06
"432",9.17504544924299e-06
"890",9.17504544924299e-06
"984",9.17504544924299e-06
"1065",1.04857662277063e-05
"1081",1.04857662277063e-05
"1104",1.04857662277063e-05
"1119",1.04857662277063e-05
"1120",1.04857662277063e-05
"1122",1.04857662277063e-05
"1123",1.04857662277063e-05
"1143",1.04857662277063e-05
"1144",1.04857662277063e-05
"1150",1.04857662277063e-05
"1151",1.04857662277063e-05
"1157",1.04857662277063e-05
"1159",1.04857662277063e-05
