"","x"
"ASV_504",161
"ASV_505",196
"ASV_507",201
"ASV_508",207
"ASV_509",155
"ASV_510",226
"ASV_511",166
"ASV_512",192
"ASV_513",195
"ASV_514",167
"ASV_515",201
"ASV_516",216
"ASV_517",197
"ASV_518",209
"ASV_519",198
"ASV_520",180
"ASV_521",201
"ASV_522",194
"ASV_523",181
"ASV_524",154
"ASV_525",178
"ASV_526",215
"ASV_527",231
"ASV_528",210
"ASV_529",176
"ASV_530",218
"ASV_531",192
"ASV_532",208
"ASV_533",161
"ASV_534",165
"ASV_535",166
"ASV_536",180
"ASV_537",191
"ASV_538",183
"ASV_539",190
"ASV_540",167
"ASV_542",202
"ASV_543",161
"ASV_544",254
"ASV_545",211
"ASV_546",180
"ASV_547",215
"ASV_548",207
"ASV_550",196
"ASV_551",187
"ASV_552",180
"ASV_553",187
"ASV_554",192
"ASV_555",190
"ASV_557",186
"ASV_558",153
"ASV_559",178
"ASV_560",163
"ASV_561",164
"ASV_562",185
"ASV_563",167
"ASV_564",182
"ASV_565",212
"ASV_566",196
"ASV_568",169
"ASV_569",163
"ASV_570",182
"ASV_571",180
"ASV_572",157
"ASV_573",179
"ASV_574",199
"ASV_575",148
"ASV_576",166
"ASV_577",192
"ASV_578",203
"ASV_579",178
"ASV_580",166
"ASV_582",178
"ASV_583",143
"ASV_584",168
"ASV_585",154
"ASV_586",159
"ASV_587",170
"ASV_588",153
"ASV_589",185
"ASV_590",193
"ASV_591",187
"ASV_592",151
"ASV_593",137
"ASV_594",205
"ASV_595",169
"ASV_596",174
"ASV_597",193
"ASV_598",169
"ASV_599",179
"ASV_600",167
"ASV_601",160
"ASV_602",163
"ASV_603",158
"ASV_604",217
"ASV_605",133
"ASV_606",158
"ASV_607",177
"ASV_608",162
"ASV_609",178
"ASV_610",136
"ASV_612",163
"ASV_613",190
"ASV_614",180
"ASV_615",184
"ASV_616",168
"ASV_617",157
"ASV_618",166
"ASV_619",156
"ASV_620",153
"ASV_621",158
"ASV_622",180
"ASV_623",172
"ASV_624",208
"ASV_625",142
"ASV_626",179
"ASV_627",169
"ASV_628",157
"ASV_629",165
"ASV_630",139
"ASV_631",166
"ASV_632",203
"ASV_633",185
"ASV_634",162
"ASV_635",161
"ASV_636",176
"ASV_637",162
"ASV_638",189
"ASV_639",153
"ASV_640",170
"ASV_641",133
"ASV_642",162
"ASV_643",159
"ASV_644",181
"ASV_645",143
"ASV_646",200
"ASV_647",166
"ASV_648",184
"ASV_649",190
"ASV_650",201
"ASV_651",172
"ASV_652",138
"ASV_653",162
"ASV_654",188
"ASV_655",139
"ASV_656",180
"ASV_658",157
"ASV_660",167
"ASV_661",143
"ASV_662",159
"ASV_663",155
"ASV_664",162
"ASV_665",164
"ASV_666",188
"ASV_667",163
"ASV_668",159
"ASV_669",128
"ASV_670",152
"ASV_671",152
"ASV_672",132
"ASV_673",154
"ASV_674",170
"ASV_675",185
"ASV_677",156
"ASV_678",139
"ASV_680",131
"ASV_681",174
"ASV_682",178
"ASV_683",169
"ASV_685",138
"ASV_686",140
"ASV_687",160
"ASV_688",150
"ASV_689",156
"ASV_690",167
"ASV_691",164
"ASV_692",140
"ASV_693",172
"ASV_694",143
"ASV_695",141
"ASV_696",178
"ASV_697",153
"ASV_698",143
"ASV_699",163
"ASV_700",136
"ASV_701",123
"ASV_702",155
"ASV_703",156
"ASV_704",169
"ASV_705",149
"ASV_706",168
"ASV_707",135
"ASV_708",171
"ASV_709",152
"ASV_710",124
"ASV_711",159
"ASV_712",139
"ASV_713",180
"ASV_714",121
"ASV_715",165
"ASV_716",174
"ASV_717",153
"ASV_719",146
"ASV_720",159
"ASV_721",158
"ASV_722",150
"ASV_723",154
"ASV_724",165
"ASV_726",147
"ASV_728",147
"ASV_729",156
"ASV_730",166
"ASV_731",170
"ASV_732",168
"ASV_733",159
"ASV_734",144
"ASV_735",144
"ASV_736",138
"ASV_737",134
"ASV_739",130
"ASV_740",141
"ASV_742",147
"ASV_743",150
"ASV_744",134
"ASV_745",137
"ASV_747",142
"ASV_749",142
"ASV_750",183
"ASV_751",163
"ASV_752",146
"ASV_753",140
"ASV_754",149
"ASV_755",141
"ASV_756",171
"ASV_757",109
"ASV_758",146
"ASV_759",115
"ASV_760",160
"ASV_761",138
"ASV_762",153
"ASV_764",169
"ASV_765",157
"ASV_766",112
"ASV_767",155
"ASV_768",133
"ASV_769",157
"ASV_770",126
"ASV_771",123
"ASV_772",142
"ASV_774",143
"ASV_775",127
"ASV_776",129
"ASV_777",171
"ASV_780",138
"ASV_781",127
"ASV_782",140
"ASV_783",145
"ASV_784",136
"ASV_785",121
"ASV_786",125
"ASV_787",149
"ASV_788",125
"ASV_789",118
"ASV_790",132
"ASV_791",109
"ASV_792",148
"ASV_793",151
"ASV_794",155
"ASV_795",124
"ASV_796",134
"ASV_797",123
"ASV_798",112
"ASV_799",168
"ASV_800",123
"ASV_801",176
"ASV_803",126
"ASV_804",104
"ASV_805",110
"ASV_806",109
"ASV_807",120
"ASV_808",121
"ASV_810",164
"ASV_811",141
"ASV_812",152
"ASV_814",108
"ASV_815",132
"ASV_816",118
"ASV_817",111
"ASV_818",114
"ASV_820",141
"ASV_821",121
"ASV_822",108
"ASV_823",156
"ASV_824",109
"ASV_826",135
"ASV_828",126
"ASV_830",121
"ASV_831",118
"ASV_832",107
"ASV_833",138
"ASV_834",128
"ASV_835",130
"ASV_836",111
"ASV_837",125
"ASV_838",121
"ASV_839",131
"ASV_840",110
"ASV_841",137
"ASV_842",121
"ASV_843",112
"ASV_844",130
"ASV_846",116
"ASV_847",118
"ASV_848",118
"ASV_849",128
"ASV_851",126
"ASV_852",127
"ASV_853",113
"ASV_854",119
"ASV_855",116
"ASV_857",116
"ASV_858",136
"ASV_859",117
"ASV_860",128
"ASV_861",140
"ASV_862",128
"ASV_863",121
"ASV_864",113
"ASV_865",107
"ASV_866",126
"ASV_867",124
"ASV_868",110
"ASV_869",112
"ASV_870",108
"ASV_871",117
"ASV_872",120
"ASV_873",102
"ASV_874",118
"ASV_875",122
"ASV_876",127
"ASV_878",120
"ASV_880",128
"ASV_881",133
"ASV_882",108
"ASV_883",132
"ASV_884",107
"ASV_885",123
"ASV_886",118
"ASV_888",116
"ASV_889",127
"ASV_890",117
"ASV_891",116
"ASV_892",113
"ASV_893",104
"ASV_894",123
"ASV_896",151
"ASV_897",106
"ASV_898",125
"ASV_899",118
"ASV_900",123
"ASV_901",136
"ASV_902",125
"ASV_903",131
"ASV_904",131
"ASV_906",145
"ASV_909",123
"ASV_910",111
"ASV_911",112
"ASV_912",123
"ASV_913",121
"ASV_914",122
"ASV_916",128
"ASV_917",108
"ASV_918",155
"ASV_919",122
"ASV_920",108
"ASV_921",126
"ASV_926",171
"ASV_927",123
"ASV_928",117
"ASV_931",128
"ASV_933",139
"ASV_934",119
"ASV_935",132
"ASV_936",105
"ASV_937",116
"ASV_938",119
"ASV_939",104
"ASV_940",122
"ASV_941",115
"ASV_942",112
"ASV_943",112
"ASV_944",106
"ASV_945",141
"ASV_948",107
"ASV_949",122
"ASV_951",104
"ASV_953",114
"ASV_955",117
"ASV_956",123
"ASV_957",103
"ASV_959",101
"ASV_961",135
"ASV_963",142
"ASV_965",106
"ASV_966",104
"ASV_967",120
"ASV_969",113
"ASV_970",133
"ASV_971",111
"ASV_973",123
"ASV_975",124
"ASV_976",102
"ASV_977",120
"ASV_979",130
"ASV_980",108
"ASV_981",127
"ASV_982",118
"ASV_984",129
"ASV_985",109
"ASV_986",124
"ASV_987",105
"ASV_988",110
"ASV_989",102
"ASV_992",102
"ASV_995",117
"ASV_996",117
"ASV_999",102
"ASV_1001",111
"ASV_1002",103
"ASV_1004",112
"ASV_1006",106
"ASV_1007",111
"ASV_1009",102
"ASV_1010",109
"ASV_1011",107
"ASV_1012",117
"ASV_1017",115
"ASV_1018",114
"ASV_1019",114
"ASV_1022",112
"ASV_1025",109
"ASV_1026",101
"ASV_1028",102
"ASV_1032",107
"ASV_1033",108
"ASV_1035",118
"ASV_1044",118
"ASV_1045",117
"ASV_1047",103
"ASV_1049",105
"ASV_1050",110
"ASV_1051",117
"ASV_1052",106
"ASV_1053",126
"ASV_1054",102
"ASV_1055",110
"ASV_1057",102
"ASV_1058",103
"ASV_1061",119
"ASV_1065",101
"ASV_1068",120
"ASV_1081",115
"ASV_1083",120
"ASV_1091",102
"ASV_1094",122
"ASV_1095",113
"ASV_1099",105
"ASV_1106",113
"ASV_1107",115
"ASV_1108",112
"ASV_1111",122
"ASV_1114",108
"ASV_1121",114
"ASV_1122",104
"ASV_1123",112
"ASV_1134",101
"ASV_1136",102
"ASV_1137",101
"ASV_1143",106
"ASV_1147",102
"ASV_1148",122
"ASV_1155",101
"ASV_1161",108
"ASV_1163",109
"ASV_1168",112
"ASV_1185",105
"ASV_1187",110
"ASV_1197",101
"ASV_1223",107
"ASV_1246",104
"ASV_1247",115
"ASV_1254",108
"ASV_1267",103
"ASV_1268",102
"ASV_1291",111
"ASV_1308",102
"fungi_ASV_1",161741
"fungi_ASV_2",107702
"fungi_ASV_3",81920
"fungi_ASV_4",76775
"fungi_ASV_5",57688
"fungi_ASV_6",56708
"fungi_ASV_7",55158
"fungi_ASV_8",40098
"fungi_ASV_9",37580
"fungi_ASV_10",31058
"fungi_ASV_11",29880
"fungi_ASV_12",30425
"fungi_ASV_14",24173
"fungi_ASV_15",21792
"fungi_ASV_16",19993
"fungi_ASV_17",17230
"fungi_ASV_18",18363
"fungi_ASV_19",17849
"fungi_ASV_20",15960
"fungi_ASV_22",14087
"fungi_ASV_23",14866
"fungi_ASV_24",13200
"fungi_ASV_25",11421
"fungi_ASV_26",12074
"fungi_ASV_27",11128
"fungi_ASV_28",10876
"fungi_ASV_29",10212
"fungi_ASV_32",8839
"fungi_ASV_34",7471
"fungi_ASV_35",7453
"fungi_ASV_36",7147
"fungi_ASV_37",6715
"fungi_ASV_38",6597
"fungi_ASV_41",6859
"fungi_ASV_42",6478
"fungi_ASV_43",6331
"fungi_ASV_44",6332
"fungi_ASV_45",6566
"fungi_ASV_46",5884
"fungi_ASV_47",5202
"fungi_ASV_50",4802
"fungi_ASV_51",4858
"fungi_ASV_57",4251
"fungi_ASV_58",3886
"fungi_ASV_59",4085
"fungi_ASV_60",4167
"fungi_ASV_62",3618
"fungi_ASV_63",3652
"fungi_ASV_64",3260
"fungi_ASV_66",3234
"fungi_ASV_67",3438
"fungi_ASV_68",3077
"fungi_ASV_69",2952
"fungi_ASV_70",3014
"fungi_ASV_71",3288
"fungi_ASV_73",2966
"fungi_ASV_74",2680
"fungi_ASV_75",2939
"fungi_ASV_76",2877
"fungi_ASV_80",2470
"fungi_ASV_82",2540
"fungi_ASV_86",2371
"fungi_ASV_87",2220
"fungi_ASV_88",2348
"fungi_ASV_89",2306
"fungi_ASV_91",2099
"fungi_ASV_93",2078
"fungi_ASV_94",2030
"fungi_ASV_95",2126
"fungi_ASV_97",2048
"fungi_ASV_98",2041
"fungi_ASV_99",1945
"fungi_ASV_101",1936
"fungi_ASV_104",1995
"fungi_ASV_105",1963
"fungi_ASV_106",1547
"fungi_ASV_109",1761
"fungi_ASV_111",1598
"fungi_ASV_117",1433
"fungi_ASV_120",1424
"fungi_ASV_122",1366
"fungi_ASV_123",1377
"fungi_ASV_124",1388
"fungi_ASV_127",1412
"fungi_ASV_129",1260
"fungi_ASV_131",1348
"fungi_ASV_132",1315
"fungi_ASV_139",1283
"fungi_ASV_143",1124
"fungi_ASV_144",1305
"fungi_ASV_148",1176
"fungi_ASV_149",1062
"fungi_ASV_152",1168
"fungi_ASV_154",1053
"fungi_ASV_157",1120
"fungi_ASV_162",969
"fungi_ASV_164",981
"fungi_ASV_172",907
"fungi_ASV_174",826
"fungi_ASV_177",829
"fungi_ASV_178",850
"fungi_ASV_181",844
"fungi_ASV_182",782
"fungi_ASV_184",772
"fungi_ASV_188",801
"fungi_ASV_189",769
"fungi_ASV_191",765
"fungi_ASV_192",829
"fungi_ASV_193",727
"fungi_ASV_196",765
"fungi_ASV_201",736
"fungi_ASV_203",715
"fungi_ASV_204",755
